Name,Team,Height,Weight,Jersey Number,Position Shorthand,Position Longhand,Country,Overall,Potential,Stats,Detailed link
Péter Gulácsi,RB Leipzig,"6'3""																",190lbs,#1 ,GK,Goalkeeper,Hungary,85,85,1305,https://www.fifaratings.com/peter-gulacsi
Konrad Laimer,RB Leipzig,"5'11""																",159lbs,#27 ,CDM,Center Defensive Midfielder,Austria,83,84,2156,https://www.fifaratings.com/konrad-laimer
Dani Olmo,RB Leipzig,"5'10""																",159lbs,#7 ,CAM,Center Attacking Midfielder,Spain,82,87,2034,https://www.fifaratings.com/daniel-olmo-carvajal
Timo Werner,RB Leipzig,"5'11""																",168lbs,#11 ,ST,Striker,Germany,82,84,1995,https://www.fifaratings.com/timo-werner
André Silva,RB Leipzig,"6'1""																",185lbs,#19 ,ST,Striker,Portugal,82,83,2067,https://www.fifaratings.com/andre-miguel-valente-da-silva
Willi Orban,RB Leipzig,"6'1""																",192lbs,#4 ,CB,Centre Back,Hungary,82,82,1697,https://www.fifaratings.com/willi-orban
Joško Gvardiol,RB Leipzig,"6'1""																",176lbs,#32 ,CB,Centre Back,Croatia,81,89,2037,https://www.fifaratings.com/josko-gvardiol
Emil Forsberg,RB Leipzig,"5'10""																",168lbs,#10 ,CAM,Center Attacking Midfielder,Sweden,81,81,1947,https://www.fifaratings.com/emil-forsberg
D. Szoboszlai,RB Leipzig,"6'1""																",163lbs,#17 ,CAM,Center Attacking Midfielder,Hungary,80,87,1998,https://www.fifaratings.com/dominik-szoboszlai
Xaver Schlager,RB Leipzig,"5'9""																",172lbs,#24 ,CDM,Center Defensive Midfielder,Austria,80,84,2058,https://www.fifaratings.com/xaver-schlager
David Raum,RB Leipzig,"5'11""																",165lbs,#22 ,LWB,Left WingBack,Germany,80,84,2060,https://www.fifaratings.com/david-raum
L. Klostermann,RB Leipzig,"6'2""																",194lbs,#16 ,RB,Right Back,Germany,80,82,1903,https://www.fifaratings.com/lukas-klostermann
Kevin Kampl,RB Leipzig,"5'10""																",146lbs,#44 ,CM,Center Midfielder,Slovenia,80,80,2064,https://www.fifaratings.com/kevin-kampl
Mohamed Simakan,RB Leipzig,"6'2""																",181lbs,#2 ,CB,Centre Back,France,78,86,1798,https://www.fifaratings.com/mohamed-simakan
Amadou Haidara,RB Leipzig,"5'9""																",159lbs,#8 ,CM,Center Midfielder,Mali,78,82,2056,https://www.fifaratings.com/amadou-haidara
M. Halstenberg,RB Leipzig,"6'2""																",192lbs,#23 ,CB,Centre Back,Germany,78,78,2066,https://www.fifaratings.com/marcel-halstenberg
B. Henrichs,RB Leipzig,"6'1""																",174lbs,#39 ,RWB,Right WingBack,Germany,77,80,1954,https://www.fifaratings.com/benjamin-henrichs
Abdou Diallo,RB Leipzig,"6'2""																",174lbs,#37 ,CB,Centre Back,Senegal,77,79,1884,https://www.fifaratings.com/abdou-diallo
Yussuf Poulsen,RB Leipzig,"6'4""																",185lbs,#9 ,ST,Striker,Denmark,77,77,1984,https://www.fifaratings.com/yussuf-poulsen
Janis Blaswich,RB Leipzig,"6'4""																",196lbs,#21 ,GK,Goalkeeper,Germany,73,73,1225,https://www.fifaratings.com/janis-blaswich
Hugo Novoa,RB Leipzig,"6'0""																",150lbs,#38 ,ST,Striker,Spain,67,80,1598,https://www.fifaratings.com/hugo-novoa-ramos
Sanoussy Ba,RB Leipzig,"5'10""																",159lbs,#25 ,LWB,Left WingBack,Germany,60,76,1447,https://www.fifaratings.com/sanoussy-ba
Jonas Nickisch,RB Leipzig,"6'3""																",170lbs,#34 ,GK,Goalkeeper,Germany,58,74,897,https://www.fifaratings.com/jonas-nickisch
Niklas Süle,Borussia Dortmund,"6'5""																",218lbs,#25 ,CB,Centre Back,Germany,85,87,1843,https://www.fifaratings.com/niklas-sule
Marco Reus,Borussia Dortmund,"5'11""																",157lbs,#11 ,CAM,Center Attacking Midfielder,Germany,85,85,2153,https://www.fifaratings.com/marco-reus
Jude Bellingham,Borussia Dortmund,"6'1""																",165lbs,#22 ,CM,Center Midfielder,England,84,91,2185,https://www.fifaratings.com/jude-bellingham
Gregor Kobel,Borussia Dortmund,"6'5""																",194lbs,#1 ,GK,Goalkeeper,Switzerland,84,88,1258,https://www.fifaratings.com/gregor-kobel
Mats Hummels,Borussia Dortmund,"6'3""																",207lbs,#15 ,CB,Centre Back,Germany,84,84,2022,https://www.fifaratings.com/mats-hummels
N. Schlotterbeck,Borussia Dortmund,"6'3""																",190lbs,#4 ,CB,Centre Back,Germany,82,88,1975,https://www.fifaratings.com/nico-schlotterbeck
Julian Brandt,Borussia Dortmund,"6'1""																",183lbs,#19 ,CAM,Center Attacking Midfielder,Germany,82,85,2041,https://www.fifaratings.com/julian-brandt
R. Guerreiro,Borussia Dortmund,"5'7""																",157lbs,#13 ,CAM,Center Attacking Midfielder,Portugal,82,82,2177,https://www.fifaratings.com/raphael-guerreiro
S. Haller,Borussia Dortmund,"6'3""																",181lbs,#9 ,ST,Striker,Ivory Coast,82,82,1947,https://www.fifaratings.com/sebastien-haller
Emre Can,Borussia Dortmund,"6'1""																",190lbs,#23 ,CB,Centre Back,Germany,81,81,2263,https://www.fifaratings.com/emre-can
Mahmoud Dahoud,Borussia Dortmund,"5'10""																",150lbs,#8 ,CM,Center Midfielder,Germany,80,82,2082,https://www.fifaratings.com/mahmoud-dahoud
Donyell Malen,Borussia Dortmund,"5'10""																",170lbs,#21 ,ST,Striker,Netherlands,79,84,2019,https://www.fifaratings.com/donyell-malen
Salih Özcan,Borussia Dortmund,"5'11""																",168lbs,#6 ,CDM,Center Defensive Midfielder,Turkey,79,82,2057,https://www.fifaratings.com/salih-ozcan
Thorgan Hazard,Borussia Dortmund,"5'9""																",157lbs,#10 ,LM,Left Midfielder,Belgium,79,79,2048,https://www.fifaratings.com/thorgan-hazard
Anthony Modeste,Borussia Dortmund,"6'2""																",185lbs,#20 ,ST,Striker,France,78,78,1872,https://www.fifaratings.com/anthony-modeste
Thomas Meunier,Borussia Dortmund,"6'3""																",198lbs,#24 ,RB,Right Back,Belgium,78,78,2092,https://www.fifaratings.com/thomas-meunier
Giovanni Reyna,Borussia Dortmund,"6'1""																",174lbs,#7 ,CAM,Center Attacking Midfielder,United States,77,86,1925,https://www.fifaratings.com/giovanni-reyna
Marius Wolf,Borussia Dortmund,"6'2""																",179lbs,#17 ,RM,Right Midfielder,Germany,77,77,2044,https://www.fifaratings.com/marius-wolf
Karim Adeyemi,Borussia Dortmund,"5'10""																",165lbs,#27 ,ST,Striker,Germany,75,86,1897,https://www.fifaratings.com/karim-adeyemi
Nico Schulz,Borussia Dortmund,"5'11""																",183lbs,#14 ,LB,Left Back,Germany,74,74,1888,https://www.fifaratings.com/nico-schulz
Y. Moukoko,Borussia Dortmund,"5'9""																",161lbs,#18 ,ST,Striker,Germany,73,89,1792,https://www.fifaratings.com/youssoufa-moukoko
Mateu Morey,Borussia Dortmund,"5'8""																",148lbs,#2 ,RWB,Right WingBack,Spain,72,79,1798,https://www.fifaratings.com/mateu-jaume-morey-bauza
Alexander Meyer,Borussia Dortmund,"6'5""																",198lbs,#33 ,GK,Goalkeeper,Germany,72,72,1035,https://www.fifaratings.com/alexander-meyer
Felix Passlack,Borussia Dortmund,"5'8""																",154lbs,#30 ,RWB,Right WingBack,Germany,70,74,1960,https://www.fifaratings.com/felix-passlack
J. Bynoe-Gittens,Borussia Dortmund,"5'9""																",154lbs,#43 ,RM,Right Midfielder,England,67,87,1586,https://www.fifaratings.com/jamie-bynoe-gittens
Tom Rothe,Borussia Dortmund,"6'4""																",181lbs,#36 ,LB,Left Back,Germany,65,82,1598,https://www.fifaratings.com/tom-rothe
Luca Unbehaun,Borussia Dortmund,"6'1""																",181lbs,#38 ,GK,Goalkeeper,Germany,65,77,1084,https://www.fifaratings.com/luca-unbehaun
Marcel Lotka,Borussia Dortmund,"6'3""																",187lbs,#35 ,GK,Goalkeeper,Poland,65,76,880,https://www.fifaratings.com/marcel-lotka
S. Coulibaly,Borussia Dortmund,"6'3""																",190lbs,#44 ,CB,Centre Back,France,64,82,1506,https://www.fifaratings.com/soumaila-coulibaly
Nnamdi Collins,Borussia Dortmund,"6'3""																",185lbs,#41 ,CB,Centre Back,Germany,61,82,1395,https://www.fifaratings.com/nnamdi-collins
G. Gürpüz,Borussia Dortmund,"5'9""																",150lbs,#42 ,CAM,Center Attacking Midfielder,Germany,61,79,1560,https://www.fifaratings.com/goktan-gurpuz
Lion Semić,Borussia Dortmund,"5'7""																",150lbs,#37 ,RWB,Right WingBack,Germany,61,79,1559,https://www.fifaratings.com/lion-semic
A. Kamara,Borussia Dortmund,"6'0""																",165lbs,#32 ,CDM,Center Defensive Midfielder,Guinea,60,82,1645,https://www.fifaratings.com/abdoulaye-kamara
Mike Maignan,AC Milan,"6'3""																",196lbs,#16 ,GK,Goalkeeper,France,87,90,1496,https://www.fifaratings.com/mike-maignan
Theo Hernández,AC Milan,"6'0""																",179lbs,#19 ,LWB,Left WingBack,France,85,90,2195,https://www.fifaratings.com/theo-hernandez
Fikayo Tomori,AC Milan,"6'1""																",174lbs,#23 ,CB,Centre Back,England,84,90,1875,https://www.fifaratings.com/fikayo-tomori
Rafael Leão,AC Milan,"6'2""																",179lbs,#17 ,LW,Left Winger,Portugal,84,90,1971,https://www.fifaratings.com/rafael-da-conceicao-leao
Sandro Tonali,AC Milan,"5'11""																",174lbs,#8 ,CDM,Center Defensive Midfielder,Italy,84,90,2225,https://www.fifaratings.com/sandro-tonali
I. Bennacer,AC Milan,"5'9""																",154lbs,#4 ,CM,Center Midfielder,Algeria,82,86,2213,https://www.fifaratings.com/ismael-bennacer
Z. Ibrahimović,AC Milan,"6'5""																",225lbs,#11 ,ST,Striker,Sweden,82,82,1967,https://www.fifaratings.com/zlatan-ibrahimovic
Olivier Giroud,AC Milan,"6'4""																",205lbs,#9 ,ST,Striker,France,82,82,1928,https://www.fifaratings.com/olivier-giroud
Simon Kjær,AC Milan,"6'3""																",190lbs,#24 ,CB,Centre Back,Denmark,82,82,1871,https://www.fifaratings.com/simon-kjaer
Davide Calabria,AC Milan,"5'10""																",154lbs,#2 ,RB,Right Back,Italy,80,83,2033,https://www.fifaratings.com/davide-calabria
Ante Rebić,AC Milan,"6'1""																",172lbs,#12 ,ST,Striker,Croatia,80,80,2084,https://www.fifaratings.com/ante-rebic
A. Florenzi,AC Milan,"5'8""																",148lbs,#25 ,RB,Right Back,Italy,79,79,2154,https://www.fifaratings.com/alessandro-florenzi
C. De Ketelaere,AC Milan,"6'4""																",174lbs,#90 ,CAM,Center Attacking Midfielder,Belgium,78,88,2067,https://www.fifaratings.com/charles-de-ketelaere
Brahim Díaz,AC Milan,"5'7""																",130lbs,#10 ,CAM,Center Attacking Midfielder,Spain,78,86,1816,https://www.fifaratings.com/brahim-diaz
Pierre Kalulu,AC Milan,"6'0""																",152lbs,#20 ,CB,Centre Back,France,78,85,1947,https://www.fifaratings.com/pierre-kalulu
A. Saelemaekers,AC Milan,"5'11""																",159lbs,#56 ,RM,Right Midfielder,Belgium,78,82,2035,https://www.fifaratings.com/alexis-saelemaekers
Junior Messias,AC Milan,"5'10""																",154lbs,#30 ,RW,Right Winger,Brazil,78,78,1958,https://www.fifaratings.com/junior-messias
Sergiño Dest,AC Milan,"5'9""																",137lbs,#21 ,RM,Right Midfielder,United States,77,85,1993,https://www.fifaratings.com/sergino-dest
Rade Krunić,AC Milan,"6'0""																",163lbs,#33 ,CM,Center Midfielder,Bosnia and Herzegovina,77,77,2085,https://www.fifaratings.com/rade-krunic
Tommaso Pobega,AC Milan,"6'2""																",172lbs,#32 ,ST,Striker,Italy,76,85,2133,https://www.fifaratings.com/tommaso-pobega
Divock Origi,AC Milan,"6'2""																",194lbs,#27 ,ST,Striker,Belgium,76,77,1853,https://www.fifaratings.com/divock-origi
C. Tătărușanu,AC Milan,"6'6""																",198lbs,#1 ,GK,Goalkeeper,Romania,76,76,1236,https://www.fifaratings.com/ciprian-tatarusanu
Yacine Adli,AC Milan,"6'1""																",172lbs,#7 ,CAM,Center Attacking Midfielder,France,75,82,2005,https://www.fifaratings.com/yacine-adli-2
Yacine Adli,AC Milan,"6'1""																",172lbs,#7 ,CAM,Center Attacking Midfielder,France,75,82,2005,https://www.fifaratings.com/yacine-adli
T. Bakayoko,AC Milan,"6'2""																",187lbs,#14 ,CB,Centre Back,France,75,76,1861,https://www.fifaratings.com/tiemoue-bakayoko
Antonio Mirante,AC Milan,"6'4""																",174lbs,#83 ,GK,Goalkeeper,Italy,74,74,1196,https://www.fifaratings.com/antonio-mirante
Aster Vranckx,AC Milan,"6'0""																",172lbs,#40 ,CAM,Center Attacking Midfielder,Belgium,73,82,1954,https://www.fifaratings.com/aster-vranckx
Malick Thiaw,AC Milan,"6'3""																",176lbs,#28 ,CB,Centre Back,Germany,72,83,1792,https://www.fifaratings.com/malick-thiaw
Matteo Gabbia,AC Milan,"6'1""																",172lbs,#46 ,CB,Centre Back,Italy,72,81,1605,https://www.fifaratings.com/matteo-gabbia
F. Ballo-Touré,AC Milan,"6'0""																",154lbs,#5 ,LWB,Left WingBack,Senegal,72,76,1881,https://www.fifaratings.com/fode-ballo-toure
Marko Lazetić,AC Milan,"6'4""																",176lbs,#22 ,ST,Striker,Serbia,65,85,1659,https://www.fifaratings.com/marko-lazetic
Luca Stanga,AC Milan,"6'1""																",172lbs,#91 ,CB,Centre Back,Italy,60,74,1382,https://www.fifaratings.com/luca-stanga
Parejo,Villarreal CF,"6'0""																",163lbs,#10 ,CM,Center Midfielder,Spain,86,86,2162,https://www.fifaratings.com/daniel-parejo-munoz
Gerard Moreno,Villarreal CF,"5'11""																",170lbs,#7 ,ST,Striker,Spain,85,85,2109,https://www.fifaratings.com/gerard-moreno-balaguero
Pau Torres,Villarreal CF,"6'3""																",176lbs,#4 ,CB,Centre Back,Spain,83,89,1893,https://www.fifaratings.com/pau-francisco-torres
Arnaut Danjuma,Villarreal CF,"5'10""																",163lbs,#9 ,LM,Left Midfielder,Netherlands,82,83,2066,https://www.fifaratings.com/arnaut-danjuma
Gerónimo Rulli,Villarreal CF,"6'2""																",185lbs,#13 ,GK,Goalkeeper,Argentina,82,82,1336,https://www.fifaratings.com/geronimo-rulli
Raúl Albiol,Villarreal CF,"6'3""																",181lbs,#3 ,CB,Centre Back,Spain,82,82,1710,https://www.fifaratings.com/raul-albiol-tortajada
G. Lo Celso,Villarreal CF,"5'10""																",150lbs,#17 ,CAM,Center Attacking Midfielder,Argentina,81,84,2162,https://www.fifaratings.com/giovani-lo-celso
Etienne Capoue,Villarreal CF,"6'3""																",176lbs,#6 ,CM,Center Midfielder,France,80,80,2090,https://www.fifaratings.com/etienne-capoue
F. Coquelin,Villarreal CF,"5'9""																",163lbs,#19 ,CM,Center Midfielder,France,80,80,2119,https://www.fifaratings.com/francis-coquelin
Morales,Villarreal CF,"5'11""																",154lbs,#22 ,LM,Left Midfielder,Spain,80,80,2098,https://www.fifaratings.com/jose-luis-morales-nogales
Yeremy Pino,Villarreal CF,"5'8""																",132lbs,#21 ,CAM,Center Attacking Midfielder,Spain,79,88,1828,https://www.fifaratings.com/yeremy-jesus-pino-santos
S. Chukwueze,Villarreal CF,"5'8""																",154lbs,#11 ,LM,Left Midfielder,Nigeria,79,85,1898,https://www.fifaratings.com/samuel-chukwueze
Juan Foyth,Villarreal CF,"6'2""																",152lbs,#8 ,CB,Centre Back,Argentina,79,84,1929,https://www.fifaratings.com/juan-foyth
Pedraza,Villarreal CF,"6'0""																",161lbs,#24 ,LB,Left Back,Spain,78,80,2083,https://www.fifaratings.com/alfonso-pedraza-sag
Manu Trigueros,Villarreal CF,"5'10""																",165lbs,#14 ,CM,Center Midfielder,Spain,78,78,2036,https://www.fifaratings.com/manuel-trigueros-munoz
Pepe Reina,Villarreal CF,"6'2""																",203lbs,#1 ,GK,Goalkeeper,Spain,77,77,1311,https://www.fifaratings.com/jose-manuel-reina-paez
Alberto Moreno,Villarreal CF,"5'7""																",143lbs,#18 ,LB,Left Back,Spain,77,77,2076,https://www.fifaratings.com/alberto-moreno-perez
Johan Mojica,Villarreal CF,"6'1""																",161lbs,#12 ,LB,Left Back,Colombia,77,77,2018,https://www.fifaratings.com/johan-mojica
Aïssa Mandi,Villarreal CF,"6'0""																",172lbs,#23 ,CB,Centre Back,Algeria,77,77,1921,https://www.fifaratings.com/aissa-mandi
Álex Baena,Villarreal CF,"5'9""																",152lbs,#16 ,CAM,Center Attacking Midfielder,Spain,75,82,1953,https://www.fifaratings.com/alejandro-baena-rodriguez
Álex Baena,Villarreal CF,"5'9""																",152lbs,#16 ,CAM,Center Attacking Midfielder,Spain,75,82,1953,https://www.fifaratings.com/alejandro-baena-rodriguez-2
Kiko Femenía,Villarreal CF,"5'9""																",135lbs,#2 ,RB,Right Back,Spain,74,74,1949,https://www.fifaratings.com/francisco-femenia-far
Jorge Cuenca,Villarreal CF,"6'3""																",165lbs,#5 ,CB,Centre Back,Spain,73,80,1642,https://www.fifaratings.com/jorge-cuenca-barreno
Manu Morlanes,Villarreal CF,"5'10""																",165lbs,#20 ,CM,Center Midfielder,Spain,73,79,1972,https://www.fifaratings.com/manuel-morlanes-arino
Nicolas Jackson,Villarreal CF,"6'1""																",172lbs,#15 ,ST,Striker,Senegal,72,81,1784,https://www.fifaratings.com/nicolas-jackson
Iker Álvarez,Villarreal CF,"6'3""																",172lbs,#31 ,GK,Goalkeeper,Andorra,62,74,1035,https://www.fifaratings.com/iker-alvarez-de-eulate
Victor Osimhen,Napoli,"6'1""																",172lbs,#9 ,ST,Striker,Nigeria,83,89,1999,https://www.fifaratings.com/victor-osimhen
P. Zieliński,Napoli,"5'11""																",165lbs,#20 ,CAM,Center Attacking Midfielder,Poland,83,83,2132,https://www.fifaratings.com/piotr-zielinski
G. Di Lorenzo,Napoli,"6'0""																",183lbs,#22 ,RB,Right Back,Italy,82,82,2135,https://www.fifaratings.com/giovanni-di-lorenzo
A. Zambo Anguissa,Napoli,"6'0""																",172lbs,#99 ,CDM,Center Defensive Midfielder,Cameroon,81,83,2113,https://www.fifaratings.com/andre-franck-zambo-anguissa
Hirving Lozano,Napoli,"5'9""																",154lbs,#11 ,RW,Right Winger,Mexico,81,81,2013,https://www.fifaratings.com/hirving-lozano
S. Lobotka,Napoli,"5'7""																",141lbs,#68 ,CM,Center Midfielder,Slovakia,81,81,2080,https://www.fifaratings.com/stanislav-lobotka
Matteo Politano,Napoli,"5'7""																",148lbs,#21 ,RW,Right Winger,Italy,81,81,1994,https://www.fifaratings.com/matteo-politano
Amir Rrahmani,Napoli,"6'4""																",183lbs,#13 ,CB,Centre Back,Kosovo,80,80,1788,https://www.fifaratings.com/amir-rrahmani
K. Kvaratskhelia,Napoli,"6'0""																",154lbs,#77 ,CAM,Center Attacking Midfielder,Georgia,79,88,1949,https://www.fifaratings.com/khvicha-kvaratskhelia
G. Raspadori,Napoli,"5'8""																",152lbs,#81 ,CAM,Center Attacking Midfielder,Italy,79,86,1869,https://www.fifaratings.com/giacomo-raspadori
Min Jae Kim,Napoli,"6'3""																",179lbs,#3 ,CB,Centre Back,South Korea,79,83,1770,https://www.fifaratings.com/min-jae-kim
Alex Meret,Napoli,"6'3""																",183lbs,#1 ,GK,Goalkeeper,Italy,79,82,1215,https://www.fifaratings.com/alex-meret
Tanguy Ndombele,Napoli,"5'11""																",168lbs,#91 ,CAM,Center Attacking Midfielder,France,79,82,2051,https://www.fifaratings.com/tanguy-ndombele
Mário Rui,Napoli,"5'7""																",148lbs,#6 ,LB,Left Back,Portugal,79,79,2091,https://www.fifaratings.com/mario-rui-silva-duarte
Eljif Elmas,Napoli,"6'0""																",163lbs,#7 ,CAM,Center Attacking Midfielder,North Macedonia,78,85,2012,https://www.fifaratings.com/eljif-elmas
G. Simeone,Napoli,"5'11""																",179lbs,#18 ,ST,Striker,Argentina,78,79,1978,https://www.fifaratings.com/giovanni-simeone
M. Olivera,Napoli,"6'0""																",172lbs,#17 ,LB,Left Back,Uruguay,77,82,1888,https://www.fifaratings.com/mathias-olivera
S. Sirigu,Napoli,"6'4""																",187lbs,#30 ,GK,Goalkeeper,Italy,77,77,1213,https://www.fifaratings.com/salvatore-sirigu
Diego Demme,Napoli,"5'8""																",157lbs,#4 ,CDM,Center Defensive Midfielder,Germany,77,77,1953,https://www.fifaratings.com/diego-demme
Juan Jesus,Napoli,"6'1""																",183lbs,#5 ,CB,Centre Back,Brazil,76,76,1684,https://www.fifaratings.com/juan-guilherme-nunes-jesus
Leo Østigård,Napoli,"6'1""																",179lbs,#55 ,CB,Centre Back,Norway,73,82,1684,https://www.fifaratings.com/leo-ostigard
Alessio Zerbin,Napoli,"6'0""																",176lbs,#23 ,CAM,Center Attacking Midfielder,Italy,72,80,1752,https://www.fifaratings.com/alessio-zerbin
G. Gaetano,Napoli,"5'9""																",154lbs,#70 ,CAM,Center Attacking Midfielder,Italy,71,81,1827,https://www.fifaratings.com/gianluca-gaetano
A. Zanoli,Napoli,"6'2""																",168lbs,#59 ,RB,Right Back,Italy,69,80,1673,https://www.fifaratings.com/alessandro-zanoli
Karim Zedadka,Napoli,"6'0""																",148lbs,#31 ,RM,Right Midfielder,France,62,68,1688,https://www.fifaratings.com/karim-zedadka
Paulo Dybala,Roma,"5'10""																",165lbs,#21 ,CAM,Center Attacking Midfielder,Argentina,86,86,2108,https://www.fifaratings.com/paulo-dybala
L. Pellegrini,Roma,"6'1""																",170lbs,#7 ,CAM,Center Attacking Midfielder,Italy,84,87,2258,https://www.fifaratings.com/lorenzo-pellegrini
Tammy Abraham,Roma,"6'5""																",190lbs,#9 ,ST,Striker,England,82,86,1926,https://www.fifaratings.com/tammy-abraham
Chris Smalling,Roma,"6'4""																",179lbs,#6 ,CB,Centre Back,England,82,82,1826,https://www.fifaratings.com/chris-smalling
L. Spinazzola,Roma,"6'1""																",165lbs,#37 ,LWB,Left WingBack,Italy,82,82,2102,https://www.fifaratings.com/leonardo-spinazzola
Nicolò Zaniolo,Roma,"6'3""																",165lbs,#22 ,CAM,Center Attacking Midfielder,Italy,81,88,2090,https://www.fifaratings.com/nicolo-zaniolo
G. Mancini,Roma,"6'3""																",170lbs,#23 ,CB,Centre Back,Italy,81,83,1749,https://www.fifaratings.com/gianluca-mancini
Rui Patrício,Roma,"6'3""																",185lbs,#1 ,GK,Goalkeeper,Portugal,81,81,1362,https://www.fifaratings.com/rui-pedro-dos-santos-patricio
Ibañez,Roma,"6'1""																",161lbs,#3 ,CB,Centre Back,Brazil,80,84,1703,https://www.fifaratings.com/roger-ibanez-da-silva
Bryan Cristante,Roma,"6'1""																",176lbs,#4 ,CM,Center Midfielder,Italy,80,82,2047,https://www.fifaratings.com/bryan-cristante
Rick Karsdorp,Roma,"6'0""																",176lbs,#2 ,RWB,Right WingBack,Netherlands,80,81,2114,https://www.fifaratings.com/rick-karsdorp
G. Wijnaldum,Roma,"5'9""																",163lbs,#25 ,CM,Center Midfielder,Netherlands,80,80,2192,https://www.fifaratings.com/georginio-wijnaldum
Andrea Belotti,Roma,"5'11""																",185lbs,#11 ,ST,Striker,Italy,80,80,1937,https://www.fifaratings.com/andrea-belotti
Nemanja Matić,Roma,"6'4""																",183lbs,#8 ,CDM,Center Defensive Midfielder,Serbia,79,79,1954,https://www.fifaratings.com/nemanja-matic
S. El Shaarawy,Roma,"5'10""																",161lbs,#92 ,LW,Left Winger,Italy,77,77,1964,https://www.fifaratings.com/stephan-el-shaarawy
Mady Camara,Roma,"6'0""																",176lbs,#20 ,CM,Center Midfielder,Guinea,76,81,2107,https://www.fifaratings.com/mady-camara
Zeki Çelik,Roma,"5'11""																",172lbs,#19 ,RWB,Right WingBack,Turkey,76,79,1966,https://www.fifaratings.com/zeki-celik
Nicola Zalewski,Roma,"5'9""																",154lbs,#59 ,RM,Right Midfielder,Poland,75,87,1850,https://www.fifaratings.com/nicola-zalewski
Marash Kumbulla,Roma,"6'3""																",172lbs,#24 ,CB,Centre Back,Albania,75,82,1598,https://www.fifaratings.com/marash-kumbulla-2
Marash Kumbulla,Roma,"6'3""																",172lbs,#24 ,CB,Centre Back,Albania,75,81,1598,https://www.fifaratings.com/marash-kumbulla
Mady Camara,Roma,"6'0""																",176lbs,#20 ,CM,Center Midfielder,Guinea,75,80,2084,https://www.fifaratings.com/mady-camara-2
Matías Viña,Roma,"5'11""																",154lbs,#5 ,LWB,Left WingBack,Uruguay,75,77,1963,https://www.fifaratings.com/matias-vina
E. Shomurodov,Roma,"6'3""																",168lbs,#14 ,ST,Striker,Uzbekistan,75,76,1844,https://www.fifaratings.com/eldor-shomurodov
Mile Svilar,Roma,"6'2""																",183lbs,#99 ,GK,Goalkeeper,Serbia,70,78,1290,https://www.fifaratings.com/mile-svilar
Ante Ćorić,Roma,"5'9""																",154lbs,#34 ,CAM,Center Attacking Midfielder,Croatia,69,72,1778,https://www.fifaratings.com/ante-coric
Edoardo Bove,Roma,"5'9""																",143lbs,#52 ,CM,Center Midfielder,Italy,68,82,1772,https://www.fifaratings.com/edoardo-bove
Ebrima Darboe,Roma,"5'9""																",152lbs,#55 ,CDM,Center Defensive Midfielder,Gambia,68,79,1712,https://www.fifaratings.com/ebrima-darboe
C. Volpato,Roma,"6'2""																",165lbs,#36 ,CAM,Center Attacking Midfielder,Italy,66,84,1660,https://www.fifaratings.com/cristian-volpato
William Bianda,Roma,"6'1""																",181lbs,#38 ,CB,Centre Back,France,63,70,1392,https://www.fifaratings.com/william-bianda
Filippo Tripi,Roma,"6'1""																",152lbs,#65 ,CB,Centre Back,Italy,62,77,1507,https://www.fifaratings.com/filippo-tripi
Pietro Boer,Roma,"6'4""																",176lbs,#63 ,GK,Goalkeeper,Italy,60,73,850,https://www.fifaratings.com/pietro-boer
Marcos Acuña,Sevilla FC,"5'8""																",152lbs,#19 ,LB,Left Back,Argentina,85,85,2304,https://www.fifaratings.com/marcos-acuna
A. Gómez,Sevilla FC,"5'6""																",150lbs,#24 ,CAM,Center Attacking Midfielder,Argentina,84,84,2035,https://www.fifaratings.com/alejandro-gomez
Yassine Bounou,Sevilla FC,"6'4""																",172lbs,#13 ,GK,Goalkeeper,Morocco,84,84,1269,https://www.fifaratings.com/yassine-bounou
Jesús Navas,Sevilla FC,"5'8""																",132lbs,#16 ,RB,Right Back,Spain,83,83,2162,https://www.fifaratings.com/jesus-navas-gonzalez
Fernando,Sevilla FC,"6'0""																",168lbs,#20 ,CDM,Center Defensive Midfielder,Brazil,83,83,2043,https://www.fifaratings.com/fernando-reges-mouta
Ivan Rakitić,Sevilla FC,"6'0""																",172lbs,#10 ,CM,Center Midfielder,Croatia,82,82,2131,https://www.fifaratings.com/ivan-rakitic
Isco,Sevilla FC,"5'9""																",174lbs,#22 ,CAM,Center Attacking Midfielder,Spain,82,82,2052,https://www.fifaratings.com/francisco-roman-alarcon-suarez
Jesús Corona,Sevilla FC,"5'8""																",146lbs,#9 ,RW,Right Winger,Mexico,81,81,2175,https://www.fifaratings.com/jesus-corona
Thomas Delaney,Sevilla FC,"6'0""																",174lbs,#18 ,CDM,Center Defensive Midfielder,Denmark,81,81,2175,https://www.fifaratings.com/thomas-delaney
Y. En-Nesyri,Sevilla FC,"6'2""																",172lbs,#15 ,ST,Striker,Morocco,80,84,1899,https://www.fifaratings.com/youssef-en-nesyri
Alex Telles,Sevilla FC,"5'11""																",157lbs,#3 ,LB,Left Back,Brazil,80,80,2213,https://www.fifaratings.com/alex-nicolao-telles
Joan Jordán,Sevilla FC,"6'0""																",163lbs,#8 ,CM,Center Midfielder,Spain,80,80,2061,https://www.fifaratings.com/joan-jordan-moreno
M. Dmitrović,Sevilla FC,"6'4""																",207lbs,#1 ,GK,Goalkeeper,Serbia,80,80,1299,https://www.fifaratings.com/marko-dmitrovic
